experience_level  ,employment_type  ,remote_ratio  ,company_size  ,salary_in_usd
2,0,         0.0  ,1,0.275
1,0,         1.0  ,1,0.073
1,0,         1.0  ,1,0.055
1,0,         1.0  ,1,0.164
1,0,         1.0  ,1,0.131
2,0,         0.0  ,2,0.359
1,0,         1.0  ,1,0.128
2,0,         1.0  ,2,0.348
2,0,         1.0  ,2,0.258
2,0,         1.0  ,1,0.3
0,0,         1.0  ,2,0.037
2,0,         1.0  ,1,0.133
1,0,         1.0  ,1,0.131
3,0,         0.5  ,2,0.328
1,0,         1.0  ,0,0.2
0,0,         0.0  ,1,0.208
1,0,         0.5  ,2,0.062
2,0,         1.0  ,1,0.175
2,0,         0.0  ,1,0.147
1,0,         1.0  ,1,0.031
1,0,         1.0  ,2,0.053
1,0,         0.5  ,2,0.097
0,0,         0.5  ,2,0.167
1,2,         0.5  ,2,0.092
0,0,         1.0  ,1,0.031
2,0,         1.0  ,1,0.271
0,0,         1.0  ,1,0.2
2,0,         0.5  ,2,0.24
2,0,         1.0  ,1,0.175
2,0,         1.0  ,1,0.167
2,0,         1.0  ,1,0.233
1,0,         1.0  ,1,0.225
1,0,         1.0  ,1,0.083
2,0,         1.0  ,1,0.367
2,0,         1.0  ,1,0.233
1,0,         0.0  ,1,0.305
1,0,         0.0  ,1,0.153
2,0,         1.0  ,1,0.308
2,0,         1.0  ,1,0.367
1,0,         1.0  ,1,0.333
1,0,         1.0  ,1,0.2
2,0,         1.0  ,0,0.2
2,0,         1.0  ,0,0.108
3,0,         1.0  ,1,0.54
3,0,         1.0  ,1,0.36
2,0,         1.0  ,1,0.35
2,0,         1.0  ,1,0.2
2,0,         1.0  ,1,0.383
0,2,         0.5  ,1,0.167
1,3,         1.0  ,1,0.167
0,1,         1.0  ,1,0.053
2,0,         1.0  ,1,0.333
1,0,         1.0  ,0,0.125
1,0,         1.0  ,2,0.059
2,0,         1.0  ,1,0.131
2,0,         1.0  ,1,0.167
1,0,         0.5  ,1,0.255
0,0,         1.0  ,1,0.097
2,0,         1.0  ,1,0.275
2,0,         0.5  ,2,0.156
0,0,         1.0  ,2,0.087
2,0,         1.0  ,2,0.104
1,0,         1.0  ,0,0.055
0,0,         1.0  ,2,0.067
1,0,         1.0  ,2,0.146
2,0,         1.0  ,1,0.192
0,0,         0.5  ,1,0.145
1,0,         1.0  ,2,0.125
1,0,         0.0  ,2,0.108
0,0,         1.0  ,2,0.2
1,0,         1.0  ,2,0.262
0,0,         1.0  ,0,0.25
1,0,         0.5  ,2,0.118
0,0,         1.0  ,0,0.108
2,0,         1.0  ,0,0.119
0,0,         0.0  ,1,0.033
1,0,         1.0  ,0,0.08
2,0,         1.0  ,1,0.254
1,0,         1.0  ,1,0.114
1,0,         0.0  ,2,0.204
2,0,         1.0  ,2,0.633
1,0,         1.0  ,1,0.116
0,0,         1.0  ,1,0.017
1,0,         1.0  ,0,0.033
2,0,         1.0  ,2,0.675
1,0,         1.0  ,2,0.225
2,0,         1.0  ,2,0.295
1,0,         1.0  ,1,0.13
2,0,         1.0  ,1,0.225
2,0,         1.0  ,1,0.167
2,0,         1.0  ,1,0.151
1,0,         0.0  ,1,0.142
1,0,         0.0  ,1,0.125
2,0,         1.0  ,1,0.357
2,0,         1.0  ,1,0.321
2,0,         1.0  ,1,0.444
2,0,         1.0  ,1,0.355
2,0,         1.0  ,1,0.188
2,0,         1.0  ,1,0.258
1,0,         0.0  ,1,0.235
1,0,         0.0  ,1,0.17
2,0,         1.0  ,1,0.193
2,0,         1.0  ,1,0.136
1,0,         0.0  ,1,0.344
1,0,         0.0  ,1,0.165
2,0,         1.0  ,1,0.217
2,0,         1.0  ,1,0.192
2,0,         1.0  ,1,0.184
2,0,         1.0  ,1,0.217
2,0,         1.0  ,1,0.165
2,0,         1.0  ,1,0.267
2,0,         0.0  ,2,0.342
2,0,         0.0  ,2,0.234
2,0,         1.0  ,1,0.293
2,0,         1.0  ,1,0.24
2,0,         1.0  ,1,0.334
2,0,         1.0  ,1,0.267
2,0,         1.0  ,1,0.242
2,0,         0.0  ,1,0.117
2,0,         0.0  ,1,0.342
2,0,         0.0  ,1,0.234
2,0,         0.0  ,1,0.342
2,0,         0.0  ,1,0.308
2,0,         1.0  ,1,0.292
2,0,         1.0  ,1,0.234
2,0,         1.0  ,1,0.194
2,0,         0.0  ,1,0.09
2,0,         1.0  ,1,0.283
1,0,         0.0  ,1,0.109
2,0,         1.0  ,1,0.133
2,0,         1.0  ,1,0.233
2,0,         1.0  ,1,0.35
2,0,         1.0  ,1,0.233
2,0,         1.0  ,1,0.167
2,0,         1.0  ,1,0.115
2,0,         1.0  ,1,0.35
2,0,         1.0  ,1,0.233
2,0,         1.0  ,1,0.35
2,0,         1.0  ,1,0.25
2,0,         1.0  ,1,0.167
2,0,         1.0  ,1,0.042
2,0,         1.0  ,1,0.211
2,0,         1.0  ,1,0.177
2,0,         1.0  ,1,0.367
2,0,         1.0  ,1,0.267
2,0,         1.0  ,1,0.175
2,0,         1.0  ,1,0.185
1,0,         0.0  ,1,0.076
2,0,         1.0  ,1,0.233
2,0,         0.0  ,1,0.165
2,0,         1.0  ,1,0.1
2,0,         1.0  ,1,0.321
2,0,         1.0  ,1,0.241
2,0,         1.0  ,1,0.383
2,0,         1.0  ,1,0.25
2,0,         1.0  ,1,0.25
2,0,         1.0  ,1,0.182
2,0,         1.0  ,1,0.35
2,0,         1.0  ,1,0.283
1,0,         1.0  ,1,0.267
1,0,         1.0  ,1,0.217
0,0,         0.0  ,1,0.112
0,0,         0.0  ,1,0.087
2,0,         1.0  ,1,0.257
2,0,         1.0  ,1,0.21
2,0,         0.0  ,1,0.215
2,0,         1.0  ,1,0.25
1,0,         1.0  ,2,0.333
